BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
5400,5200,3386600,2259800
7200,5200,3426800,2210500
5500,4900,3388800,2163100
5600,4900,3377000,2171100
5600,5100,3612100,2182200
5400,4900,3430100,2204200
5300,4900,3391600,2236000
5500,4900,3365800,2216200
5500,4900,3395500,2189800
5400,5100,3437200,2217400
5400,4900,3404800,2183400
5900,5000,3392400,2190500
5400,5000,3464800,2461200
5300,5000,3683500,2359300
6000,5000,3535000,2212000
5300,5000,3449800,2190100
5500,5000,3713101,2450300
5300,5000,3430600,2174400
5900,5100,4963100,2182900
5400,5000,3418300,2174400
5600,5100,3379800,2241600
6000,5000,3451100,2173600
5600,5200,3796900,2176500
6000,5100,3456700,2218900
5400,5000,3913200,2265600
20100,5100,3827200,2237300
5800,5000,3442400,2209900
5300,5000,3600200,2216500
5800,5100,3794400,2557900
5900,5200,3481900,2275300
5800,5000,3685100,2253700
5600,5100,3386600,2281600
5700,5100,3375500,2185700
5500,4900,3410400,2166600
5400,5500,3534500,2173900
5800,5100,3384200,2175000
5600,5000,3386300,2182400
5300,5000,3360600,2210000
5600,4900,3646700,2202400
13400,5100,3498100,2208300
5800,15400,3371200,2168400
5400,5000,3388400,2254900
6000,5100,3396300,2203800
5800,4900,3413600,2171900
5500,5000,3471300,2179100
5600,5100,3407100,2237500
29700,5000,3452400,2172700
5600,5000,3409300,2201900
5500,4900,3432700,2169100
5800,5300,3518300,2179900
5500,5000,3572100,2186200
5700,5100,3395500,2183000
6200,5000,3391200,2189300
5300,4900,3411500,2192800
5400,4900,3393800,2207600
5500,4900,3480900,2220800
5300,4900,3476200,2177700
6000,5100,3584400,2173600
6200,5000,3391000,2167900
5400,5000,3469800,2171400
5300,4900,3534600,2173200
5700,5100,3457000,2180700
6000,5100,3401300,2172500
5500,5000,3385500,2191700
5500,5000,3416000,2212000
5300,5000,3430100,2197000
5700,5000,3387500,2188800
5600,5100,3397600,2197100
5300,4900,3472200,2188300
5300,5100,3442400,2178200
5500,5100,3541200,2191600
6100,5100,3385900,2189400
5300,10000,3455000,2247200
5600,4800,3533900,2182000
5500,5100,3554900,2208900
6000,5000,3417900,2418600
5900,5100,3408600,2307900
5400,5100,3384900,2201100
5600,4900,3426800,2297300
5500,5100,3390300,2168000
5300,5000,3401600,2207500
5800,5600,3398500,2334200
5600,5100,3424100,2180900
5400,5000,3365700,2218100
5400,4900,3429900,2169000
5500,4900,3363800,2168700
5400,5000,3400100,2188800
5600,5000,3430100,2207500
5400,4900,3580500,2175800
6200,5200,3998700,2254600
5400,4900,3389400,2253000
5300,5000,3370400,2185700
5900,5100,3398200,2279400
5600,5000,3370100,2198300
5400,4900,3405100,2231000
5400,4900,3623500,2475100
5900,5300,3373000,2171300
6100,5000,3401200,2174200
5700,5000,3373100,2181000
5600,5300,3473100,2230800
