BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
6971600,21075400,447700,4079200
16472500,3548700,180100,2860500
2460000,6690000,128500,3286700
1804600,3086700,127300,3189200
1813600,3188400,132400,3177000
1819300,3341900,162400,2845100
1836000,3116000,126100,2682600
1999300,3132000,126200,2650700
1834300,3145600,125700,11633700
1907200,3166800,125400,829300
1921000,3306900,126200,724500
1913200,3141500,283000,718000
1963400,3151900,215600,748300
1945100,3148500,215600,708900
1935900,3163700,216000,710600
1915000,3169900,245200,716700
1940000,3150400,223600,712600
1897400,3163300,248100,716300
1902800,3135900,216400,527600
1903900,3156600,216700,575600
1924900,3166500,343100,524200
1906500,3158200,217800,505100
1914800,3149700,216000,551300
1914500,3156800,215900,505500
1913600,3199100,232100,512100
1914200,3171600,216100,510500
1923000,3188200,214800,505600
1910500,3159100,214200,510000
1923200,3143200,214900,505100
1960700,3180900,224100,510500
1910400,3164400,214800,510400
1892600,3140500,215400,510500
1932000,3154700,216800,505500
1911900,3193100,231500,572600
1922500,3336800,256400,506100
1918100,3227700,258600,511200
1903100,3161500,502100,505000
1917700,3144700,425700,512800
1934900,3148100,427100,511200
1929900,3157900,568600,505500
1981400,3220201,654500,510300
1919300,3135400,458900,553600
1926600,3157500,376800,515900
1921000,3159600,453500,505000
1913100,3141600,363000,511400
1906200,3155900,408800,505200
1931800,3166900,364800,528200
1906100,3136000,372300,505000
1905500,3175400,367500,511400
2084200,3137100,370500,505400
1923700,3159000,441500,511100
1904300,3163200,461000,505200
1911100,3168900,375000,510200
2049800,3141000,363600,505200
1914700,3145000,362900,521400
1940000,3148300,388800,504800
1992000,3143200,368600,510400
1992700,3156000,571600,505000
1996400,3164100,384000,510400
1916500,3152400,365200,504800
1976500,3138700,457300,516200
1953800,3268700,328200,505200
1952500,3172000,357800,510900
2020500,3140400,348700,505000
1904900,3161700,349000,617300
1954200,3253400,444400,579300
1899900,3148300,347800,505700
1988300,3185600,352600,510900
1901800,3146800,357000,504800
1927400,3137400,349500,511000
1982900,3243100,346700,505000
1904700,3083400,367000,510600
1910600,3078700,346100,505100
1901500,3069200,345400,510600
2066000,3128900,354300,505000
2139900,3084700,369300,522700
1885200,3161200,442400,505800
1880500,3083100,346400,593100
2237100,3074200,345500,519800
1955500,3097300,355200,548300
1873900,3082900,348200,515900
2155500,3578800,351300,522200
2539500,3076900,356600,516200
1935600,3384600,346200,521800
2248500,3165200,344000,515700
2247600,3172800,356000,521300
2192300,3172800,345800,516500
2180200,3111900,360300,521800
2201200,3074600,420600,516100
2205100,3119800,351600,521800
2246200,3092200,355900,521300
2104200,3113800,356900,516000
2152200,3138100,346800,521000
2121600,3084500,355600,538800
2183800,3079800,346600,521700
2116200,3160200,380800,515800
2343100,3192500,364900,521700
2175700,3066900,352000,516100
2152100,3092700,355400,526500
2131400,3081200,345400,516000
