BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
47000,71600,363968801,238627300
49800,50700,352870700,235795101
48900,51500,352274601,229824600
148400,93500,358504101,241766500
47900,50300,363467800,241987901
65200,50200,355496001,231046600
49700,50300,364826700,231391501
48200,50600,356319701,233526700
48400,50500,353613001,233795000
48400,50300,374712689,236844393
55700,50200,355233489,234733693
49000,50300,363414689,232726294
48200,50300,355998490,231104293
47700,50400,355341889,237240198
49300,50500,357335600,237987799
55800,50300,355351200,232924199
48400,50300,350284800,235818199
76400,51700,365914199,232415500
53600,218000,364449001,236199900
48500,50300,363075300,248727501
49200,50300,361202601,239876700
48300,50300,352852801,229871700
48300,50500,350005100,231943300
50300,50700,361238000,236306700
47800,50300,350788200,231476300
48700,50600,350791300,232409300
48100,66100,356783200,231315200
47800,50200,354517697,238126498
50600,51000,356244798,237752498
50600,50500,363528597,244280598
48700,50500,351737198,230849098
47600,50400,354057097,230157099
51700,50200,354915697,231709798
49300,57700,351477197,234146098
48500,50400,350498097,231748098
48000,50600,352745397,233237998
48800,50400,361962596,239696897
48200,50500,354601496,232128597
48800,50300,353426596,231142197
47900,50200,352324696,230868197
52700,50400,357366596,232248997
48300,50600,351041300,232227200
49100,50200,360981900,234628300
48400,50800,354049200,231053500
49200,50400,352980200,234663900
47600,50300,356448700,245450201
49200,50200,359657401,234696701
47700,57900,360474501,243799801
48500,50400,355518801,237017700
59800,51200,358656301,239263401
48700,50400,359152301,256548800
60000,50400,359796200,234377801
47500,50300,362461100,236257500
48200,50600,369631801,248213000
49000,50500,356321901,233365000
58400,50400,367101301,237289200
48200,50300,364207800,239828201
51300,51300,365202100,254486201
56600,50900,355957201,236638800
47700,50400,356408802,234735701
93500,78200,356883102,234312001
48100,50200,357060601,236429001
60700,59000,362285302,237153601
47900,50200,359044106,239975304
51300,50400,357619106,248496404
52200,50700,356317806,237721803
86500,51200,425769607,247158004
47900,50300,373124406,245516104
63100,50700,385138502,234549301
48100,50500,353777702,234878001
49700,50300,355850501,232201401
48800,50300,353752902,233873801
48900,50300,355074101,234662400
55400,50800,354717801,234893301
48200,50700,358841501,234133401
48100,50400,369726200,236239701
48200,50400,354070701,234175200
49700,50400,356246800,232590501
53100,51400,353191400,232569001
48200,50200,353221801,230861200
50000,50400,359960301,236201300
48700,51000,428085900,240498401
48100,50200,353993701,234369000
47700,50200,354757201,232828700
48100,50700,354190400,235966500
49400,50400,359607500,234197601
48600,71500,355232301,232784901
84800,50400,355825001,234340301
95800,54500,355078202,236136000
56300,50300,355033901,230724501
47700,50300,350664900,234837400
78000,51300,354459901,233662500
79200,63700,358405501,234793600
113200,76600,374529901,236805500
48100,57700,358189100,233446301
48100,50400,357090100,232925300
48300,50300,351326200,233345300
48700,50300,357235101,235512900
47500,50300,367252401,234331700
48100,50700,357990200,245950999
