DataType,BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
int,3965659,7249219,135980,3284989
char,5181469,6508250,236630,3312979
bool,3443660,3779049,2437250,3682199
