BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
456400206,930736812,1316500,245883803
469932312,981061224,1307600,238951906
467695912,959630323,1384601,238754205
487551903,927607205,1374300,279570901
457928603,927908205,1356100,240102901
496093500,947689801,1464300,241428401
462587101,923113501,1356600,239693300
462084390,906998882,1367999,236549396
473771890,929068081,1373400,240383495
460819699,926743796,1388800,242314900
464977599,912156497,1471600,256061599
462214297,921374594,1373100,238326199
491108197,942680294,1392700,252398299
470391197,902975593,1463800,239952199
469558297,924668993,1358200,238153598
465729598,911389398,1420700,254443399
483082399,924485097,1418400,243212099
478030095,939838591,1479800,245977297
474619395,920181791,1390300,245653798
467259999,988556496,1380800,261217199
477806198,924472797,1440400,245202299
471409499,915234099,1358000,243312899
464639099,921120999,1501900,245748700
483679601,931507103,1381200,246560601
473662901,985302404,1416100,259849401
505475301,952638701,1377200,241002401
467360501,916264101,1381900,242496101
468752503,913320805,1523100,244460601
474601603,930019205,1375900,244123502
467548199,928937198,1366000,244867299
464188499,927328097,1367600,243673100
467889699,916502197,1393500,242064699
463744599,911015597,1425800,253744899
465318900,920270799,1391000,243930000
461765300,908958199,1373900,244327300
467324904,912975408,1384700,241386902
465968304,915925707,1381800,248261203
468235309,931498118,1513400,246023305
465440909,924518318,1484800,242496805
495106809,943236218,1929900,246815004
466953208,944793718,1383700,241627004
466125001,913916802,1444200,244606800
464859601,925384102,1381700,250323101
480898601,939307500,1584100,247841301
477615200,919436301,1377800,241866300
469162802,987153704,1418100,255958001
507847502,990518504,1471000,246823901
469061400,910565399,1583000,242141900
516235399,975359400,1403900,260226399
465278699,911349198,1368800,243728800
494441699,971702398,1389800,265152097
482888796,996822190,1397300,257322197
462442096,915408094,1368200,241176100
489826900,970424900,1584200,250715600
508133800,945438298,1368700,263338398
470219798,921623896,1436500,252246299
468702598,911496395,1450600,240432998
471414297,948311893,1973000,252055399
483812797,992637892,1404100,250852698
474438096,913441893,1388400,248628598
476164096,913719498,1370000,248147399
485417099,931762997,1477600,244847900
465084299,915863495,1407800,242866298
463615798,919279294,1369900,240840199
466104097,916461399,1474800,241804800
465550699,933432299,1385200,254805299
492356399,914262000,1392200,242041899
469234800,927574899,1410700,246574700
471846799,935883997,1404000,279013799
466979099,908159097,1433900,241774399
460663399,927209398,1379400,240884100
470910799,938032498,1396300,242204799
466702500,917168499,1372100,242658100
462790400,916186899,1383000,240735800
471379296,913167590,1396400,247426898
465252695,909681891,1821500,243397197
463212294,913906387,1450600,241943197
467384594,912103987,1465900,241357897
518255995,947800292,1386600,246792798
462085296,915981592,1401500,249511298
477005498,937187996,1400200,254899599
466662398,925430496,1432800,245011999
466974398,921930395,1394900,243055799
465951198,948640696,1376600,251463498
466639399,930822698,1410100,245571400
467957299,918073399,1402600,244785099
473090701,943427903,1397700,243848001
471738301,918636602,1426900,245202401
467169013,928579625,1596500,246409807
465951513,926144725,1424201,247154206
473986421,949145040,1426600,254557511
478035920,939379240,1386100,249130811
533931604,960198209,1392700,254514302
466957105,925688908,1393600,247709602
466146109,922662818,1393500,243564305
466966309,918878419,2025100,248069204
471526011,920283021,1416200,242117305
472116711,942633321,1594300,255829606
476299803,952224005,1418900,248122702
464263302,922527606,1572000,246644701
