BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
3173200,5574600,185700,2285600
3520100,5712300,184800,2279900
3459100,6066000,184300,2246400
3223700,5612900,184300,2337100
3219300,5559100,184900,2250000
3276800,5931400,192200,2249800
3268700,5572900,193000,2244900
3294600,5550000,183800,2240800
3217200,5811100,184700,2607000
3214000,5542300,184200,2273900
3425300,5567600,184600,2266800
3211900,5661700,194000,2416600
3208800,5994500,309000,2365700
3309200,5555700,185500,2289600
3796700,5715400,184100,2247500
3250000,5665600,184400,2993400
3256700,7075600,185100,2578200
3497100,6062300,202200,2266200
3339600,5596800,184200,2238400
3234500,5527000,191000,2263600
3289200,5666300,183600,2242000
3231700,5522300,194500,2241900
3712500,5527200,185800,2245900
3538000,5789000,214100,2565700
3204800,5592300,185900,2789100
3254900,5548900,186600,2256000
3367801,5810800,184700,2266000
3211100,5568600,255500,2283400
3215500,5572500,185700,2269900
3223200,5599300,191700,2252900
3466800,6065800,184400,2454800
3227000,5646300,184800,2406200
3220100,5583600,184800,2651000
3205400,5676200,185100,2268300
3198200,5771900,197400,2257300
3190300,6006100,195100,2538000
3191400,5558800,184800,2273600
3291700,5727900,196100,2253400
3215200,5656600,192200,2272300
3210100,5554200,184600,2361000
3202500,5576200,184900,2281800
3243300,6134600,186500,2298200
3221900,5749400,187300,2308800
3971701,6137500,186000,2389800
3781500,5964100,184600,2253300
3996500,5588500,184700,2259300
3258100,5554300,209100,2262700
3985800,5674900,191300,2296000
3230500,5622400,184500,2252600
3248200,5622100,196200,2394200
3378200,6290100,225200,2334000
3198200,5698900,185700,2271100
3219100,6548500,185800,2508600
3220500,5601200,193000,2268800
3331500,5661200,184600,2248500
3229900,6145100,184600,2294400
3219100,5574900,184100,2513700
3371100,5688500,191000,2265600
3404700,5871900,196000,2277400
3262100,5732600,239000,2248000
3427100,5783100,184900,2461100
3195000,6334600,184300,2666500
3223000,5601700,187000,2340000
3218500,5585500,187200,2245300
3301700,5805900,185000,2249300
3211500,5848000,185400,2262200
3222300,5624100,184200,2254900
3288900,5956000,192600,2245100
3238400,5781800,360600,2620500
3237300,5579400,195700,2251600
3378600,5530600,185200,2261600
3783900,6249000,187300,2314500
3392500,5624400,184300,2263000
3870800,5919800,184600,2265900
3494200,5552300,185300,2268600
3267000,5792200,217100,2302800
3239800,5612700,184200,2304400
3202600,5637800,183300,2283100
3364000,5658500,183300,2285500
3215900,6198600,244600,2303600
3224200,5628600,183000,2275900
3966200,5606800,183900,2302300
3228700,5627000,190300,2281100
3224500,6283300,184500,2284200
3201600,5881700,191200,2305800
3189700,5590300,189100,2291900
3277100,5603400,190900,2295900
3257300,6080800,183800,2338200
3373500,6452300,211500,2386000
3179300,5981300,183300,2284600
3191700,5666700,183300,2416500
3220300,5608700,191000,2279700
3247100,6047700,183200,2297600
3283600,5654500,182700,2270700
3473900,5565300,183500,2308200
3250500,5599600,183300,2427600
3240200,5594200,183000,2308700
3204600,6062000,183100,2295900
3363200,5725300,183300,2311000
3195100,5612900,184700,2313600
