BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
5600,5200,3601700,2183300
5500,5100,3141800,2476900
5800,5200,3232700,2180700
5600,5100,3142400,2244800
5500,5300,3152601,2210600
6000,5200,3265000,2177400
5800,5100,3254900,2260600
5800,5200,3144001,2210200
5900,5200,3220500,2243200
5700,5000,3128400,2230600
5700,5000,3142500,2283301
5200,4900,3155300,2248900
5400,5300,3124000,2260300
5500,5200,3193700,2278200
5800,5200,3144700,2593900
6000,5200,3156400,2417400
5600,5100,3272800,2448200
5400,5200,3200900,2295300
5000,5200,3645000,2234300
5600,5300,4203200,2278200
6200,5100,3728400,2221300
6500,5200,3227900,2220700
21900,6000,3192700,2226100
21000,6800,3142800,2224400
8100,5400,3619600,2174800
5600,5200,3719100,2190900
5900,5200,3437300,2191700
5600,5100,3770400,2177200
5700,5300,3405400,2288800
5800,5300,3484100,2173900
6600,5300,3448400,2286100
5200,5200,3523600,2181000
5600,5500,3479700,2302900
5500,5200,3771800,2196000
6000,5200,3407700,2349300
6000,5300,3491100,2242300
5500,5300,3734200,2658600
10100,5500,3727800,2664900
25300,22500,3907100,2175000
7100,5400,3570300,2178700
5900,5100,3505400,2317200
5800,5200,3439700,2166900
5900,5300,3407900,2223500
5500,5300,3742800,2175101
5100,5200,3709100,2318100
6100,5400,3546300,2211100
5900,5200,3503200,2241801
5800,5300,3436700,2247700
5500,5300,3523400,2224800
5500,5700,3519300,2254901
5800,5500,3983000,2222100
9500,5500,3826300,2563200
5700,5200,3936700,2172601
6100,5200,3428000,2452600
5700,5300,3484900,2205300
5600,5300,3427700,2209501
5700,5200,3435100,2176900
5900,5200,3673400,2277700
5500,5200,3424700,2507701
5800,5200,3424400,2193700
5800,5200,3446400,2181300
5600,12500,3563600,2254001
6100,5300,3420600,2277400
5100,5100,3494100,2226000
5100,5500,3422100,2806601
5800,5200,3479400,2232400
5500,5200,3480300,2365800
6000,5400,3669800,2185701
6700,5200,4200900,2263100
5900,5300,3741200,2281800
5700,5600,3535000,2322001
6200,5600,3438900,2265100
6100,80700,3621100,2217400
5400,5300,3433900,2261800
6100,47100,3470700,2213000
5500,5300,3723500,2356200
5700,5300,3467200,2915500
5500,5000,3478400,2561200
5800,5200,3837900,2544800
6900,5300,3503400,2214000
6100,5600,3521800,2173200
6300,5300,3587600,2205500
5800,5200,3766100,2179300
5800,5300,3527800,2181300
5500,5200,3409600,2189300
5400,5200,3612300,2350200
6900,5300,3653000,2225900
5900,5300,3519700,2181001
5700,5400,3464700,2288300
21000,32100,3675500,2234200
5800,5300,3852600,2276900
5800,5100,6231500,2224400
6700,5800,3563800,2277700
5800,5300,3950000,2246200
5500,5600,3455500,2190500
5600,5300,3650900,2235400
5900,5600,3745900,2236700
6200,5300,3437000,2321800
5900,5200,3702900,2276000
5500,5300,3866300,2451200
