BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
5400,5300,3396900,2184900
5200,5200,3387300,2184100
5700,5200,3672700,2376900
12800,5300,3630700,2194400
5700,5200,3403600,2893800
5700,5700,3564800,2173400
6400,5400,3425300,2226000
5900,5300,3621100,2168100
6500,5500,3691400,2186300
5500,5200,4081500,2213100
5300,5200,3724100,2402400
8600,6100,3432500,2169800
6200,5400,3450600,2175500
5800,5100,3388101,2185300
6000,5200,3422100,2163900
5400,5300,3439300,2253700
5300,5200,3426001,2184100
6600,5200,3389800,2179000
6900,5700,3448400,2180500
5800,5200,3415901,2218300
6400,41800,3434800,2184900
5600,5100,3572600,2248400
5300,5300,3415200,2166701
6100,5100,3369100,2178300
5200,5300,3430700,2223700
5400,5100,3382600,2179901
5500,5200,3539100,2181900
5600,5200,3618600,2236600
5400,5300,3376500,2394001
5400,5200,3549100,2437100
5800,5400,3436800,2204100
5400,5300,3468600,2198501
6100,5900,3430300,2183400
6100,5500,3989600,2171500
5400,5500,3445300,2519301
5300,5200,3485300,2178000
6100,5300,3892900,2673700
5500,5400,3542501,2426200
5300,5300,3482700,2183400
5400,5200,3401700,2439100
5400,5100,3389701,2253200
5700,5100,3666300,2310500
6000,5200,3420200,2197300
5300,5300,3445300,2222200
5600,5200,3448600,2209900
6100,5500,4181300,2186900
5900,5300,3609500,2223400
10500,5300,3502300,2227400
6100,5200,3384600,2340500
5900,5300,3401300,2200200
5600,5300,3396100,2169200
5400,5300,3548900,2203900
5200,5100,3659100,2168000
5300,5400,3379800,2249900
5500,5200,3584800,2218500
6000,5200,3367000,2459300
5200,5200,3403900,2245400
5200,5100,3422000,2228500
5200,5200,3403300,2403200
5200,5200,3528800,2373200
5500,5400,3420600,2499300
5900,5700,3817700,2519400
6400,5200,3419300,2174200
7900,6300,3435000,2183100
6600,5500,3503700,2216400
5300,5300,3664700,2167100
5900,5600,3393900,2276500
5600,5200,3438600,2175800
5600,5100,3377900,2202800
6500,5200,3736400,2173900
5400,5300,3603500,2346200
5700,5100,3500400,2330900
5800,5100,3626600,2444500
5600,5200,3461300,2231000
5200,5200,3468201,2201900
6300,5200,3873800,2645600
6800,5400,3382600,2179800
5700,5200,3615400,2215200
5200,5200,3580400,2242500
5500,5200,3494300,2244700
6100,5200,3390500,2189100
6000,5200,3412800,2166900
5700,5200,3453200,2262600
5400,5200,3424800,2221700
6300,5100,3408800,2220600
5200,5400,3437700,2245200
5200,5200,3470500,2600200
5800,5200,4512700,2206900
6500,5500,3516900,2357100
7300,6000,3445900,2178600
6300,5500,3397900,2198900
6000,5500,3421001,2710200
5700,5200,3504800,2244200
6000,5500,3440300,2934800
5700,5300,3445200,2339600
6000,5300,3516901,2204300
6700,6000,3517200,2209400
6200,5200,3430300,2209500
6300,5800,3421400,2170400
5800,5500,3389200,2191400
