DataType,BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
int,54098,54192,359321881,236063640
char,56367,55588,360341865,231910389
bool,48984,50448,355011346,228229474
