DataType,BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
int,3524119,6204053,99714,2389596
char,3326011,5767847,193062,2330418
bool,2729645,3300867,1731361,2950208
