BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
315588399,591282600,256565599,234138000
312389200,590013899,256095700,232963699
341624000,620532599,275932300,233413300
339888699,621585300,275363600,251107400
345657200,620809500,275976500,233213100
340439500,620880899,276616900,233533400
341100301,616836200,276122800,234653301
343798600,622616201,274328900,233119100
342591700,619575100,279312801,231979300
342452800,620083301,273035800,232202000
345846400,626811500,280196401,233873500
356637700,688677101,296506001,243962900
347161501,707181600,313010601,268770300
357754200,630239698,274999600,233679299
351970899,639442699,278588000,233544999
340943798,632712698,279244799,240634099
367695299,766051997,339136699,258295099
341343400,614019800,271951299,231313400
342966299,628846500,271099200,231164100
338850200,610405101,273338400,231411100
338948300,614746601,271523700,230505201
338140100,614218701,271887901,231767301
336913203,611369405,271721602,233027002
337787202,610275605,270616402,230484302
341815709,618059418,273839808,236295306
337130909,615326618,274370508,237732506
342440702,612421204,276478702,233672602
335846402,622541804,272420402,236039601
361174703,635569103,279777602,237326601
352805202,612301003,276090301,230283002
339069302,625331603,273733601,234326101
336765401,612970001,275630000,231439601
340816801,638484002,271348500,230890201
336694001,617374801,272087801,229390700
336388101,611760801,279089300,251949201
347496401,618905900,272733001,231300700
347015500,617607401,273204000,242880401
338348001,609841400,274158200,229386999
338446000,610032400,271557000,230267500
337829500,611980400,271645100,230500500
335449300,610400100,273912900,234042500
336272400,611860899,272478000,229774900
336042498,613176096,271863099,229867198
335377198,612289196,272056798,233058698
341281697,629551394,283712197,230740298
337675397,612131794,273334197,230002698
336042297,612897794,271983398,229499098
343399998,608157396,273954698,230418398
336056998,614365696,270572898,229807498
336017100,612710600,271563900,230413100
339957800,610102800,270557300,230237100
337600000,607840599,273692400,230875800
337561400,608564500,273208399,230143900
336254099,612459400,270852899,230998000
336602400,611843999,274419699,229863200
336689300,611350199,272778599,229177600
336955900,614273800,271757300,229109400
335859300,609749200,272108600,234170101
336831501,630157800,282365300,236092501
339730700,626544401,277016400,235563000
336857400,610078501,271868800,234438000
337016800,612687500,271739400,230147400
336925000,611874701,272017500,229320600
338161800,613643801,272935600,235870900
338717601,617780500,276420100,232815000
336117795,616475990,271679695,230492796
341216194,610275190,271664296,239445396
389551398,618684498,273068899,230122499
338430199,628631898,279965798,238462900
341548898,634333501,273031300,233993600
336364200,614411101,272936900,230426300
360226100,613731200,272922201,231976695
336630592,609401284,272205994,232755994
335138291,611225885,272871693,230582894
337019498,613989296,272198198,229554899
341187498,612593696,271360498,234755399
339667802,609736904,277110602,233864801
336881402,619797904,273167302,231377401
336762203,609523310,279260808,241445506
339452110,612406516,273974608,229960106
336071609,613387717,272056607,230667606
335993109,610656516,272669708,232019206
338699209,611125916,274716208,230063706
337549401,614711403,272622501,230501901
336960001,610829803,273586701,231738401
340541801,609507402,270925401,230926700
338142701,614164602,274633600,230416801
336324601,610531301,270446301,231667001
337142001,609281802,271574800,229894501
338901400,613341202,274061800,230994401
337616901,612827701,273583500,230997201
338897201,608831201,272688801,229241900
339384701,610474701,275394700,229932101
336439901,610900201,273483001,229757600
338287001,612181101,272324601,230723500
337272001,610282101,273108901,230047900
337668701,610603401,272109001,229129900
337618601,617638203,274972702,231255201
335589002,610729703,276571601,230135101
342092601,621146902,292603801,255699301
