DataType,BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
int,473424729,931651368,1436457,247037304
char,387923367,628272898,14071444,234717203
bool,292744877,362051335,174763763,301009971
