DataType,BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
int,353625213,632240694,277068323,236907584
char,340172940,618545861,275020587,233579107
bool,49220,51643,346054110,224751007
