DataType,BubbleSortWhileNeeded,BubbleSortUntilNoChange,QuickSortGPT,SelectionSortGPT
int,3420486,6246651,2672963,2353469
char,3380301,6073995,2690105,2330183
bool,6077,5185,3480994,2218274
